Si. No.,Category,State/UT/City,Dangerous or Careless Driving/ Over-taking/etc. - Cases,Dangerous or Careless Driving/ Over-taking/etc. - Injured,Dangerous or Careless Driving/ Over-taking/etc. - Died,Over Speeding - Cases,Over Speeding - Injured,Over Speeding - Died,Driving under Influence of Drug/Alcohol - Cases,Driving under Influence of Drug/Alcohol - Injured,Driving under Influence of Drug/Alcohol - Died,Physical Fatigue of Drivers - Cases,Physical Fatigue of Drivers - Injured,Physical Fatigue of Drivers - Died,Defect in Mechanical Condition of Motor Vehicle - Cases,Defect in Mechanical Condition of Motor Vehicle - Injured,Defect in Mechanical Condition of Motor Vehicle - Died,Animal Crossing - Cases,Animal Crossing - Injured,Animal Crossing - Died,Weather Condition (Total) - Cases,Weather Condition (Total) - Injured,Weather Condition (Total) - Died,Weather Condition (Poor Visibility) - Cases,Weather Condition (Poor Visibility) - Injured,Weather Condition (Poor Visibility) - Died,Weather Condition (Others Causes - Cases,Weather Condition (Others Causes - Injured,Weather Condition (Others Causes - Died,Lack of Road Infrastructure - Cases,Lack of Road Infrastructure - Injured,Lack of Road Infrastructure - Died,Vehicles Parking at Road Shoulders - Cases,Vehicles Parking at Road Shoulders - Injured,Vehicles Parking at Road Shoulders - Died,Causes Not Known - Cases,Causes Not Known - Injured,Causes Not Known - Died,Other Causes - Cases,Other Causes - Injured,Other Causes - Died,Total Road Accidents - Cases,Total Road Accidents - Injured,Total Road Accidents - Died,Unmanned Railway Crossing Accidents - Cases,Unmanned Railway Crossing Accidents - Injured,Unmanned Railway Crossing Accidents - Died,Grand Total - Cases,Grand Total - Injured,Grand Total - Died
56,City,Indore,349,263,103,313,275,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,657,37,773,600,31,2101,1795,213,0,0,0,2101,1795,213
57,City,Jabalpur,450,474,35,1072,1085,126,119,118,13,0,0,0,45,34,16,39,32,11,50,38,12,27,21,6,23,17,6,0,0,0,24,20,4,0,0,0,117,108,15,1916,1909,232,0,0,0,1916,1909,232
58,City,Jaipur,963,792,306,908,735,284,36,28,6,0,0,0,1,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,0,0,20,10,5,1940,1566,606,0,0,0,1940,1566,606
59,City,Jamshedpur,119,91,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,91,47,0,0,0,119,91,47
60,City,Jodhpur,166,113,39,293,218,145,3,0,2,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,7,5,8,8,5,9,0,0,0,0,0,0,481,345,206,0,0,0,481,345,206
61,City,Kannur,242,285,25,258,287,29,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,573,57,0,0,0,504,573,57
62,City,Kanpur,192,126,190,134,66,131,0,0,0,0,0,0,11,16,17,53,33,50,16,8,16,15,8,15,1,0,1,0,0,0,5,0,5,5,0,5,2,2,2,418,251,416,0,0,0,418,251,416
63,City,Kochi,539,492,45,800,894,51,0,0,0,0,0,0,1,0,1,0,0,0,5,5,1,5,5,1,0,0,0,14,14,3,0,0,0,0,0,0,1,1,0,1360,1406,101,0,0,0,1360,1406,101
64,City,Kolkata,612,602,7,389,375,13,345,338,2,32,27,2,47,46,0,0,0,0,155,0,8,107,0,5,48,0,3,32,0,3,25,0,4,22,6,17,24,7,145,1683,1401,201,0,0,0,1683,1401,201
65,City,Kollam,105,92,14,1124,1107,150,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,174,175,28,0,0,0,1411,1381,194,0,0,0,1411,1381,194
66,City,Kota,6,9,0,338,345,59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,353,362,60,0,0,0,353,362,60
67,City,Kozhikode,627,634,63,333,337,21,4,2,0,0,0,0,0,0,0,0,0,0,8,7,4,8,7,4,0,0,0,0,0,0,9,12,0,19,20,3,3,0,0,1003,1012,91,0,0,0,1003,1012,91
68,City,Lucknow,354,280,141,375,236,174,31,13,1,19,11,8,5,5,2,11,10,11,30,11,4,24,11,4,6,0,0,1,1,0,2,2,0,25,13,2,157,110,98,1010,692,441,0,0,0,1010,692,441
69,City,Ludhiana,105,55,71,221,120,150,3,1,2,1,0,1,0,0,0,13,4,14,6,1,5,5,1,4,1,0,1,3,0,3,3,0,3,5,0,5,28,2,27,388,183,281,0,0,0,388,183,281
70,City,Madurai,19,25,3,497,453,77,14,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,499,81,0,0,0,530,499,81
71,City,Malappuram,214,217,29,379,384,64,6,6,0,5,5,0,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,612,621,94,0,0,0,612,621,94
72,City,Meerut,172,114,76,155,106,53,29,20,14,0,0,0,5,4,2,2,1,1,14,10,6,14,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,255,152,0,0,0,377,255,152
73,City,Mumbai,259,42,259,116,13,116,2,4,2,3,0,3,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,31,16,31,418,75,418,0,0,0,418,75,418
74,City,Nagpur,474,405,110,397,328,107,19,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,748,224,0,0,0,890,748,224
75,City,Nasik,41,0,45,57,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,104,0,0,0,98,0,104
76,City,Patna,101,24,86,157,118,40,42,78,4,0,0,0,0,0,0,0,0,0,73,23,51,73,23,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,243,181,0,0,0,373,243,181
77,City,Pune,52,13,51,75,11,65,6,0,6,0,0,0,5,0,5,1,0,1,3,0,3,0,0,0,3,0,3,4,0,4,0,0,0,3,0,2,25,18,8,174,42,145,0,0,0,174,42,145
78,City,Raipur,24,14,8,690,410,107,4,3,0,12,5,1,31,24,2,18,8,2,0,0,0,0,0,0,0,0,0,17,13,1,24,18,4,87,34,34,0,0,0,907,529,159,0,0,0,907,529,159
79,City,Rajkot,0,0,0,432,324,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,324,138,0,0,0,432,324,138
80,City,Ranchi,0,0,0,154,101,98,44,25,44,49,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,144,164,0,0,0,247,144,164
81,City,Srinagar,0,0,0,276,275,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,275,45,0,0,0,276,275,45
82,City,Surat,0,0,0,567,415,190,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,575,423,191,0,0,0,575,423,191
83,City,Thiruvananthapuram,512,467,29,609,681,71,9,6,0,3,1,2,2,1,0,20,29,5,3,3,1,2,2,0,1,1,1,0,0,0,32,29,0,24,45,0,0,0,0,1214,1262,108,0,0,0,1214,1262,108
84,City,Thrissur,13,9,6,1448,1621,126,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464,1632,134,0,0,0,1464,1632,134
85,City,Tiruchirappalli,12,18,0,385,383,86,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,401,87,0,0,0,398,401,87
86,City,Vadodara,21,15,3,452,389,150,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,408,153,0,0,0,481,408,153
